league_name,team_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Serie A,AC Milan,W,D,W,D,W,W,L,W,W,W,W,L,W,D,W,W,D,D,L,L,L,W,W,W,L,D,L,W,D,D,W,D,D,W,L,W,P,P
Serie A,US Lecce,L,L,D,D,L,D,W,D,L,D,L,L,D,W,W,W,D,D,L,L,W,D,W,L,L,L,L,L,L,D,L,W,L,L,D,D,P,P
Serie A,AC Monza,L,L,L,L,L,D,W,W,W,L,L,L,W,L,W,D,D,W,D,W,D,W,L,L,W,D,D,L,D,W,W,W,D,D,W,W,P,P
Serie A,ACF Fiorentina,W,D,D,L,D,L,W,L,L,D,L,W,W,W,L,D,W,L,L,D,L,L,D,W,W,W,W,W,D,D,L,W,D,L,W,D,P,P
Serie A,SS Lazio,W,D,W,D,L,W,W,W,W,D,W,L,W,W,L,L,D,W,W,D,D,L,W,W,W,D,W,W,W,W,L,L,W,L,D,W,P,P
Serie A,US Salernitana 1919,L,D,W,D,D,D,L,L,W,L,W,W,D,L,L,L,D,L,L,W,L,L,L,W,D,D,D,D,D,D,W,D,D,L,W,D,P,P
Serie A,Spezia Calcio,W,L,D,L,D,L,W,L,L,D,L,L,L,D,W,D,D,W,L,L,L,D,L,D,D,W,L,D,D,L,D,L,L,L,W,D,P,P
Serie A,Hellas Verona FC,L,D,L,D,W,L,L,L,L,L,L,L,L,L,L,D,W,L,W,D,D,W,L,L,D,D,L,L,W,D,W,D,L,W,L,L,P,P
Serie A,Juventus FC,W,D,D,W,D,D,L,W,L,W,W,W,W,W,W,W,W,L,D,L,W,W,W,W,L,W,W,W,L,L,L,D,W,W,W,L,P,P
Serie A,Udinese Calcio,L,D,W,W,W,W,W,W,D,D,L,D,D,D,L,D,L,L,W,D,L,D,L,D,D,W,W,L,D,L,W,L,D,W,L,L,P,P
Serie A,Torino FC,W,D,W,L,W,L,L,L,D,L,W,W,L,W,D,D,D,L,W,D,W,L,D,L,W,W,L,D,L,D,W,L,W,D,W,D,P,P
Serie A,US Sassuolo Calcio,L,W,D,D,D,L,W,W,L,L,W,L,L,D,L,L,L,L,D,W,W,D,L,W,W,W,W,D,L,W,L,W,L,D,L,L,P,P
Serie A,FC Internazionale Milano,W,W,L,W,L,W,L,L,W,W,W,W,L,W,W,W,D,W,L,W,W,D,W,L,W,L,L,L,D,L,W,W,W,W,W,L,P,P
Serie A,SSC Napoli,W,W,D,D,W,W,W,W,W,W,W,W,W,W,W,L,W,W,W,W,W,W,W,W,L,W,W,L,W,D,W,D,D,W,L,W,P,P
Serie A,Empoli FC,L,D,D,D,D,L,W,L,D,W,L,L,W,L,W,D,D,W,W,D,L,D,D,L,L,L,L,W,D,L,L,L,W,W,D,W,P,P
Serie A,Bologna FC 1909,L,D,L,D,D,W,L,L,D,L,W,W,W,L,W,L,L,W,D,W,W,L,W,W,L,D,D,W,W,D,L,D,L,D,D,W,P,P
Serie A,Atalanta BC,W,D,W,W,W,D,W,W,D,W,L,W,L,L,L,D,W,W,D,W,L,W,L,L,D,L,W,W,L,D,W,W,W,L,L,W,P,P
Serie A,AS Roma,W,W,D,W,L,W,L,W,W,W,L,W,L,D,D,W,D,W,W,L,W,D,W,L,W,L,L,W,W,W,L,D,D,L,D,D,P,P
Serie A,US Cremonese,L,L,L,L,D,D,L,D,L,D,L,D,D,D,L,L,L,L,D,L,L,L,D,W,L,L,D,L,W,W,L,D,D,W,L,L,P,P
